Wavelength,Cristal_T,Vidrio_T,Acetato_T,Cristal_Abs,Vidrio_Abs,Acetato_R,Cristal_R,Vidrio_R,Acetato_Abs
2336.0,91.36480713,88.94818115,73.84452057,0.03984198719,0.05037150905,0.8108749986,0.3635297418,0.5370777249,0.129509598
2335.0,91.31596375,88.93762207,74.63613129,0.03977599367,0.05039476231,0.7752147317,0.3916136026,0.5560013652,0.1258097589
2334.0,91.28205872,88.93762207,75.10505676,0.03971285,0.05043755844,0.7002575994,0.3298253119,0.4755800664,0.124167189
2333.0,91.26882935,88.93210602,75.193367,0.03959152475,0.05041883513,0.7028161287,0.3225470781,0.4687642157,0.1245975196
2332.0,91.27511597,88.93933105,74.94928741,0.03957028314,0.05046672001,0.8283987641,0.3983175755,0.535286963,0.1270084977
2331.0,91.30678558,88.93205261,74.38047028,0.03957958519,0.05049771443,0.8150306344,0.4353241622,0.554197669,0.1309693903
2330.0,91.33997345,88.92723083,73.59383392,0.03959444538,0.05048090965,0.8005236983,0.3457614183,0.5194483995,0.1358913034
2329.0,91.36558533,88.92633057,72.70939636,0.03968843073,0.05053906515,0.7385061383,0.3220526278,0.5294930339,0.1411181688
2328.0,91.37581635,88.91088867,71.9109726,0.039704483,0.05052897707,0.776258111,0.3716474473,0.5372356772,0.145443663
2327.0,91.37459564,88.91817474,71.34486389,0.03974138573,0.05054113269,0.7635375857,0.3890694976,0.5823941827,0.1482143104
2326.0,91.34915161,88.91014099,71.05053711,0.03975744173,0.05057355762,0.7831860185,0.3892423511,0.5442322493,0.1491119117
2325.0,91.32236481,88.90628815,71.08499146,0.0396942161,0.05059263855,0.7582349777,0.3423441052,0.5317998528,0.1479600966
2324.0,91.306427,88.90602875,71.47608948,0.03964566067,0.05061052367,0.7545830011,0.3243887424,0.5273492336,0.1447435021
2323.0,91.28966522,88.90010071,72.1816864,0.0396113731,0.05061060935,0.669280529,0.3400963247,0.4921913147,0.1397825032
2322.0,91.29032135,88.89398956,73.08091736,0.03956393525,0.05063690618,0.757088542,0.3123089969,0.5093614459,0.1340763718
2321.0,91.30381012,88.88772583,74.00895691,0.03955222294,0.05065345764,0.7780494094,0.3689095974,0.5653283596,0.1285787076
2320.0,91.32038879,88.88937378,74.87543488,0.03957229853,0.05067637935,0.7939404845,0.344974041,0.5369579196,0.1238413826
2319.0,91.33674622,88.88601685,75.57176208,0.0396091342,0.05070549622,0.7514429688,0.3679256141,0.5512250066,0.1203253567
2318.0,91.35344696,88.87791443,76.02419281,0.03965260834,0.05074267834,0.6790246367,0.3213295043,0.4743889868,0.1185081825
2317.0,91.35415649,88.88230896,76.15785217,0.0396435596,0.05075690523,0.7257221937,0.3284437656,0.5312020779,0.1185446456
2316.0,91.3269043,88.86688232,75.94926453,0.03966920078,0.0507854484,0.749568522,0.3282480538,0.5015034676,0.1204848289
2315.0,91.30969238,88.86327362,75.44883728,0.03966522962,0.05078748614,0.7679121494,0.3585383892,0.5739976168,0.1239371374
2314.0,91.28817749,88.85782623,74.79974365,0.03963791952,0.05082828179,0.7554849386,0.364646554,0.523665309,0.1280932724
2313.0,91.28620911,88.85953522,74.02251434,0.03961471841,0.0508472845,0.7852191925,0.4111300111,0.5726463795,0.1327415258
2312.0,91.2855835,88.85120392,73.2452774,0.03958117217,0.05088159814,0.7637038231,0.3594394624,0.5654031634,0.1371763051
2311.0,91.29312897,88.84355164,72.56225586,0.03958157077,0.05089242384,0.7588097453,0.3570094705,0.5724527836,0.1408130229
2310.0,91.30153656,88.84276581,72.05243683,0.03958987817,0.0509147197,0.7459091544,0.3293718398,0.4996641576,0.1433600634
2309.0,91.30724335,88.83609009,71.78108978,0.03962884098,0.0509499386,0.7040634751,0.3539963663,0.5082143545,0.1443398446
2308.0,91.31130981,88.82705688,71.7407608,0.03962098807,0.05097997934,0.7763121724,0.3518864214,0.5535516739,0.1439577341
2307.0,91.30730438,88.82455444,71.89702606,0.03962612152,0.05099156499,0.8024472594,0.4123259783,0.5597494841,0.1424639374
2306.0,91.30477905,88.81858826,72.21347809,0.039630346,0.0509913601,0.817414999,0.3835797906,0.5367293358,0.1402077079
2305.0,91.29108429,88.81385803,72.62918854,0.0396572873,0.05103919283,0.6765432358,0.3552964032,0.4923549592,0.1376521736
2304.0,91.2776947,88.80951691,73.05902863,0.03961585462,0.05104288831,0.7644786239,0.3449766338,0.4574175477,0.1352012306
2303.0,91.27487946,88.8030014,73.43359375,0.03963519633,0.05108915642,0.8123464584,0.4079610109,0.5774664879,0.1333441436
2302.0,91.28076172,88.80580139,73.66707611,0.03962535411,0.05112884566,0.7616917491,0.3823184371,0.5275954604,0.1324485838
2301.0,91.28305817,88.80106354,73.72031403,0.03963462636,0.05112532154,0.8434332013,0.4759898782,0.6631367207,0.1327147484
2300.0,91.29262543,88.7946167,73.57571411,0.03963593394,0.05115412176,0.7350571156,0.3980403244,0.5588093996,0.1341259032
2299.0,91.29547882,88.79190063,73.23503113,0.03963559121,0.05115750059,0.771861732,0.2900567949,0.5242987275,0.1366783381
2298.0,91.28603363,88.7815094,72.73832703,0.03967793658,0.05118956417,0.7182786465,0.3244723678,0.5169917941,0.1399526447
2297.0,91.28479004,88.77984619,72.1156311,0.03968108445,0.05121420324,0.8983455896,0.4238395989,0.5964329839,0.1438352168
2296.0,91.27674103,88.77902985,71.47501373,0.03971168771,0.05123855174,0.7276514769,0.3226981759,0.5390591621,0.1475459635
2295.0,91.27622223,88.78007507,70.9138031,0.03968723863,0.05125777796,0.7370996475,0.3497962058,0.513240993,0.1506055146
