cristal,,vidrio,,Acetato,,cristal,,Viodrio,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,
2364,91.29994202,2364,89.03164673,2364,67.54746246,2364,0.03946643323,2364,0.04997352511,
2363,91.29492188,2363,89.02885437,2363,66.15904236,2363,0.03937646374,2363,0.05001314357,
2362,91.32550049,2362,89.03237915,2362,65.06286621,2362,0.03934879974,2362,0.05001032725,
2361,91.38155365,2361,89.02432251,2361,64.35508728,2361,0.03942382708,2361,0.05004282668,
2360,91.43572235,2360,89.0272522,2360,64.13676453,2360,0.03955052048,2360,0.05000561848,
2359,91.46325684,2359,89.01583862,2359,64.38456726,2359,0.0396755822,2359,0.050043758,
2358,91.46699524,2358,89.01986694,2358,65.10018158,2358,0.03978839144,2358,0.0500418134,
2357,91.43913269,2357,89.01545715,2357,66.22291565,2357,0.03985784575,2357,0.05008184165,
2356,91.38491058,2356,89.01252747,2356,67.63983154,2356,0.03979017958,2356,0.05006847903,
2355,91.33561707,2355,89.01207733,2355,69.31552887,2355,0.03970195726,2355,0.05009767413,
2354,91.29494476,2354,89.00996399,2354,70.97853088,2354,0.03957989812,2354,0.05011545122,
2353,91.28440857,2353,89.00393677,2353,72.4568634,2353,0.03948276117,2353,0.05013227463,
2352,91.29871368,2352,88.99993896,2352,73.65112305,2352,0.03942864388,2352,0.05013686419,
2351,91.34407043,2351,89.00312042,2351,74.43406677,2351,0.0394597128,2351,0.05014770105,
2350,91.39522552,2350,88.99728394,2350,74.73614502,2350,0.03957252577,2350,0.05017120764,
2349,91.42593384,2349,88.99325562,2349,74.53037262,2349,0.03970019892,2349,0.05017074198,
2348,91.43110657,2348,88.98509216,2348,73.88089752,2348,0.03981503099,2348,0.05020776019,
2347,91.41040039,2347,88.9797287,2347,72.92527771,2347,0.0398738198,2347,0.05021482334,
2346,91.37509918,2346,88.98474884,2346,71.89172363,2346,0.03985801712,2346,0.05023801327,
2345,91.32714844,2345,88.97670746,2345,70.85626984,2345,0.03980825096,2345,0.05024571344,
2344,91.28076935,2344,88.97708893,2344,69.99093628,2344,0.03969636932,2344,0.05028189719,
2343,91.2598114,2343,88.97255707,2343,69.43227386,2343,0.03962918371,2343,0.05028151721,
2342,91.27201843,2342,88.96627808,2342,69.23448181,2342,0.0395758152,2342,0.05031438917,
2341,91.30234528,2341,88.96396637,2341,69.43731689,2341,0.03957984224,2341,0.05031256005,
2340,91.34502411,2340,88.95355988,2340,69.96730042,2340,0.03961942717,2340,0.05031136796,
2339,91.37358093,2339,88.9498291,2339,70.7878952,2339,0.03969952092,2339,0.05031825602,
2338,91.39479065,2338,88.94770813,2338,71.78333282,2338,0.03980978206,2338,0.05038115755,
2337,91.39634705,2337,88.95066071,2337,72.85688782,2337,0.03985952213,2337,0.05038839579,
2336,91.36480713,2336,88.94818115,2336,73.84452057,2336,0.03984198719,2336,0.05037150905,
2335,91.31596375,2335,88.93762207,2335,74.63613129,2335,0.03977599367,2335,0.05039476231,
2334,91.28205872,2334,88.93762207,2334,75.10505676,2334,0.03971285,2334,0.05043755844,
2333,91.26882935,2333,88.93210602,2333,75.193367,2333,0.03959152475,2333,0.05041883513,
2332,91.27511597,2332,88.93933105,2332,74.94928741,2332,0.03957028314,2332,0.05046672001,
2331,91.30678558,2331,88.93205261,2331,74.38047028,2331,0.03957958519,2331,0.05049771443,
2330,91.33997345,2330,88.92723083,2330,73.59383392,2330,0.03959444538,2330,0.05048090965,
2329,91.36558533,2329,88.92633057,2329,72.70939636,2329,0.03968843073,2329,0.05053906515,
2328,91.37581635,2328,88.91088867,2328,71.9109726,2328,0.039704483,2328,0.05052897707,
2327,91.37459564,2327,88.91817474,2327,71.34486389,2327,0.03974138573,2327,0.05054113269,
2326,91.34915161,2326,88.91014099,2326,71.05053711,2326,0.03975744173,2326,0.05057355762,
2325,91.32236481,2325,88.90628815,2325,71.08499146,2325,0.0396942161,2325,0.05059263855,
2324,91.306427,2324,88.90602875,2324,71.47608948,2324,0.03964566067,2324,0.05061052367,
2323,91.28966522,2323,88.90010071,2323,72.1816864,2323,0.0396113731,2323,0.05061060935,
2322,91.29032135,2322,88.89398956,2322,73.08091736,2322,0.03956393525,2322,0.05063690618,
2321,91.30381012,2321,88.88772583,2321,74.00895691,2321,0.03955222294,2321,0.05065345764,
2320,91.32038879,2320,88.88937378,2320,74.87543488,2320,0.03957229853,2320,0.05067637935,
2319,91.33674622,2319,88.88601685,2319,75.57176208,2319,0.0396091342,2319,0.05070549622,
2318,91.35344696,2318,88.87791443,2318,76.02419281,2318,0.03965260834,2318,0.05074267834,
2317,91.35415649,2317,88.88230896,2317,76.15785217,2317,0.0396435596,2317,0.05075690523,
2316,91.3269043,2316,88.86688232,2316,75.94926453,2316,0.03966920078,2316,0.0507854484,
2315,91.30969238,2315,88.86327362,2315,75.44883728,2315,0.03966522962,2315,0.05078748614,
2314,91.28817749,2314,88.85782623,2314,74.79974365,2314,0.03963791952,2314,0.05082828179,
2313,91.28620911,2313,88.85953522,2313,74.02251434,2313,0.03961471841,2313,0.0508472845,
2312,91.2855835,2312,88.85120392,2312,73.2452774,2312,0.03958117217,2312,0.05088159814,
2311,91.29312897,2311,88.84355164,2311,72.56225586,2311,0.03958157077,2311,0.05089242384,
2310,91.30153656,2310,88.84276581,2310,72.05243683,2310,0.03958987817,2310,0.0509147197,
2309,91.30724335,2309,88.83609009,2309,71.78108978,2309,0.03962884098,2309,0.0509499386,
2308,91.31130981,2308,88.82705688,2308,71.7407608,2308,0.03962098807,2308,0.05097997934,
2307,91.30730438,2307,88.82455444,2307,71.89702606,2307,0.03962612152,2307,0.05099156499,
2306,91.30477905,2306,88.81858826,2306,72.21347809,2306,0.039630346,2306,0.0509913601,
2305,91.29108429,2305,88.81385803,2305,72.62918854,2305,0.0396572873,2305,0.05103919283,
2304,91.2776947,2304,88.80951691,2304,73.05902863,2304,0.03961585462,2304,0.05104288831,
2303,91.27487946,2303,88.8030014,2303,73.43359375,2303,0.03963519633,2303,0.05108915642,
2302,91.28076172,2302,88.80580139,2302,73.66707611,2302,0.03962535411,2302,0.05112884566,
2301,91.28305817,2301,88.80106354,2301,73.72031403,2301,0.03963462636,2301,0.05112532154,
2300,91.29262543,2300,88.7946167,2300,73.57571411,2300,0.03963593394,2300,0.05115412176,
2299,91.29547882,2299,88.79190063,2299,73.23503113,2299,0.03963559121,2299,0.05115750059,
2298,91.28603363,2298,88.7815094,2298,72.73832703,2298,0.03967793658,2298,0.05118956417,
2297,91.28479004,2297,88.77984619,2297,72.1156311,2297,0.03968108445,2297,0.05121420324,
2296,91.27674103,2296,88.77902985,2296,71.47501373,2296,0.03971168771,2296,0.05123855174,
2295,91.27622223,2295,88.78007507,2295,70.9138031,2295,0.03968723863,2295,0.05125777796,
2294,91.26977539,2294,88.77367401,2294,70.47172546,2294,0.03967515379,2294,0.05125361308,
2293,91.26399994,2293,88.77008057,2293,70.21946716,2293,0.03966488689,2293,0.0512675941,
2292,91.2687149,2292,88.76213074,2292,70.18466187,2292,0.03970391676,2292,0.05129756778,
2291,91.28393555,2291,88.7564621,2291,70.4079895,2291,0.03971245512,2291,0.05131251365,
2290,91.295578,2290,88.75820923,2290,70.86605835,2290,0.03974660486,2290,0.05133611336,
2289,91.30329132,2289,88.75292206,2289,71.50113678,2289,0.039756082,2289,0.05135504901,
2288,91.29618835,2288,88.74989319,2288,72.24265289,2288,0.03977840766,2288,0.05137258768,
2287,91.29024506,2287,88.74763489,2287,73.00367737,2287,0.03979877383,2287,0.051389575,
